step,t,n_source_events,n_context_events,n_ingested_source,n_ingested_context,n_pruned_source,n_pruned_context,attention_n1,attention_n2,attention_n3,attention_n4,attention_n5,attention_n6,share_n1,share_n2,share_n3,share_n4,share_n5,share_n6,top1_neuron,top1_attention,top1_share,top1_margin
78,1.560000,4,5,0,0,0,0,0.000000,0.000000,0.060832,0.060832,1.992916,0.000000,0.000000,0.000000,0.028768,0.028768,0.942465,0.000000,5,1.992916,0.942465,0.913697
79,1.580000,5,4,1,0,0,1,0.000000,0.000000,0.000000,0.060832,1.992916,0.060832,0.000000,0.000000,0.000000,0.028768,0.942465,0.028768,5,1.992916,0.942465,0.913697
80,1.600000,5,5,0,1,0,0,0.000000,0.000000,0.000000,0.060832,2.403755,0.060832,0.000000,0.000000,0.000000,0.024088,0.951824,0.024088,5,2.403755,0.951824,0.927737
81,1.620000,5,5,0,0,0,0,0.000000,0.000000,0.000000,0.060832,2.403755,0.060832,0.000000,0.000000,0.000000,0.024088,0.951824,0.024088,5,2.403755,0.951824,0.927737
82,1.640000,5,5,1,0,1,0,0.000000,0.000000,0.000000,0.060832,3.370047,0.060832,0.000000,0.000000,0.000000,0.017422,0.965156,0.017422,5,3.370047,0.965156,0.947735
83,1.660000,5,6,0,1,0,0,0.000000,0.000000,0.000000,0.060832,3.370047,0.108287,0.000000,0.000000,0.000000,0.017188,0.952215,0.030597,5,3.370047,0.952215,0.921619
84,1.680000,5,5,0,0,0,1,0.000000,0.000000,0.000000,0.060832,2.403755,0.108287,0.000000,0.000000,0.000000,0.023643,0.934269,0.042088,5,2.403755,0.934269,0.892181
85,1.700000,4,5,0,0,1,0,0.000000,0.000000,0.000000,0.060832,1.992915,0.108287,0.000000,0.000000,0.000000,0.028136,0.921778,0.050086,5,1.992915,0.921778,0.871693
86,1.720000,4,4,0,0,0,1,0.000000,0.000000,0.000000,0.000000,1.992915,0.108287,0.000000,0.000000,0.000000,0.000000,0.948464,0.051536,5,1.992915,0.948464,0.896929
87,1.740000,5,4,1,0,0,0,0.000000,0.000000,0.000000,0.000000,1.992915,0.180821,0.000000,0.000000,0.000000,0.000000,0.916816,0.083184,5,1.992915,0.916816,0.833631
88,1.760000,5,5,0,1,0,0,0.000000,0.000000,0.000000,0.000000,2.316093,0.180821,0.000000,0.000000,0.000000,0.000000,0.927582,0.072418,5,2.316093,0.927582,0.855165
89,1.780000,4,5,0,0,1,0,0.000000,0.000000,0.000000,0.000000,2.316093,0.180821,0.000000,0.000000,0.000000,0.000000,0.927582,0.072418,5,2.316093,0.927582,0.855165
90,1.800000,5,6,1,1,0,0,0.000000,0.000000,0.000000,0.000000,3.234275,0.180821,0.000000,0.000000,0.000000,0.000000,0.947053,0.052947,5,3.234275,0.947053,0.894105
91,1.820000,5,5,0,0,0,1,0.000000,0.000000,0.000000,0.000000,2.277437,0.180821,0.000000,0.000000,0.000000,0.000000,0.926444,0.073556,5,2.277437,0.926444,0.852887
92,1.840000,4,5,0,0,1,0,0.000000,0.000000,0.000000,0.000000,1.883823,0.180821,0.000000,0.000000,0.000000,0.000000,0.912420,0.087580,5,1.883823,0.912420,0.824841
93,1.860000,4,4,0,0,0,1,0.000000,0.000000,0.000000,0.000000,1.883823,0.108287,0.000000,0.000000,0.000000,0.000000,0.945642,0.054358,5,1.883823,0.945642,0.891284
94,1.880000,5,4,1,0,0,0,0.060832,0.000000,0.000000,0.000000,1.883823,0.108287,0.029631,0.000000,0.000000,0.000000,0.917621,0.052747,5,1.883823,0.917621,0.864874
95,1.900000,5,5,0,1,0,0,0.060832,0.000000,0.000000,0.000000,2.277437,0.108287,0.024864,0.000000,0.000000,0.000000,0.930875,0.044261,5,2.277437,0.930875,0.886614
96,1.920000,4,5,0,0,1,0,0.060832,0.000000,0.000000,0.000000,2.277437,0.060832,0.025356,0.000000,0.000000,0.000000,0.949288,0.025356,5,2.277437,0.949288,0.923932
97,1.940000,5,6,1,1,0,0,0.060832,0.000000,0.000000,0.000000,3.234276,0.060832,0.018127,0.000000,0.000000,0.000000,0.963747,0.018127,5,3.234276,0.963747,0.945620
98,1.960000,5,5,0,0,0,1,0.060832,0.000000,0.000000,0.000000,2.316093,0.060832,0.024954,0.000000,0.000000,0.000000,0.950092,0.024954,5,2.316093,0.950092,0.925138
99,1.980000,4,5,0,0,1,0,0.060832,0.000000,0.000000,0.000000,1.992916,0.060832,0.028768,0.000000,0.000000,0.000000,0.942465,0.028768,5,1.992916,0.942465,0.913697
100,2.000000,4,5,0,0,0,0,0.060832,0.000000,0.000000,0.000000,1.992916,0.060832,0.028768,0.000000,0.000000,0.000000,0.942465,0.028768,5,1.992916,0.942465,0.913697
101,2.020000,5,4,1,0,0,1,0.060832,0.060832,0.000000,0.000000,1.992916,0.000000,0.028768,0.028768,0.000000,0.000000,0.942465,0.000000,5,1.992916,0.942465,0.913697
102,2.040000,5,5,0,1,0,0,0.060832,0.060832,0.000000,0.000000,2.403755,0.000000,0.024088,0.024088,0.000000,0.000000,0.951824,0.000000,5,2.403755,0.951824,0.927737
103,2.060000,5,5,0,0,0,0,0.060832,0.060832,0.000000,0.000000,2.403755,0.000000,0.024088,0.024088,0.000000,0.000000,0.951824,0.000000,5,2.403755,0.951824,0.927737
104,2.080000,5,5,1,0,1,0,0.060832,0.060832,0.000000,0.000000,3.370047,0.000000,0.017422,0.017422,0.000000,0.000000,0.965156,0.000000,5,3.370047,0.965156,0.947735
105,2.100000,5,5,0,0,0,0,0.060832,0.060832,0.000000,0.000000,3.370047,0.000000,0.017422,0.017422,0.000000,0.000000,0.965156,0.000000,5,3.370047,0.965156,0.947735
106,2.120000,5,5,0,1,0,1,0.060832,0.060832,0.000000,0.000000,2.403755,0.000000,0.024088,0.024088,0.000000,0.000000,0.951824,0.000000,5,2.403755,0.951824,0.927737
107,2.140000,4,5,0,0,1,0,0.060832,0.060832,0.000000,0.000000,1.992916,0.000000,0.028768,0.028768,0.000000,0.000000,0.942465,0.000000,5,1.992916,0.942465,0.913697
108,2.160000,4,4,0,0,0,1,0.000000,0.060832,0.000000,0.000000,1.992916,0.000000,0.000000,0.029620,0.000000,0.000000,0.970380,0.000000,5,1.992916,0.970380,0.940760
